T,TM,Tm,SLP,H,VV,V,VM,PM2.5,SO2,NO2,PM10,Class,NumClass
20.1,28.8,13.6,1009.2,67,1.6,3.5,9.4,83.1,15,113,383,Very Poor,5
18.2,22.2,15.6,1010,78,1.9,10.4,14.8,242.2,5,67,352,Very Poor,5
16,22.2,14,1010.9,95,1.6,6.9,16.5,1.8,4,43,306,Poor,4
16.6,22.7,12.3,1012.8,84,1.6,1.1,5.4,49.5,12,67,177,Moderate,3
14.7,21.3,9.8,1015.2,80,1.6,6.5,18.3,234,7,93,151,Very Poor,5
15,21.6,9.4,1014.4,70,1.4,8.9,18.3,226.3,4,48,425,Very Poor,5
16.6,23.8,10,1016.2,63,1.4,3.7,11.1,178.1,5,55,384,Very Poor,5
16.2,26.4,10.3,1017.2,75,2.1,5,11.1,221.6,13,104,210,Very Poor,5
15.6,26.4,9.6,1018.1,79,1.8,6.7,18.3,264.3,4,46,195,Sever,6
18.1,25.6,10.1,1015.6,74,1.4,3.1,11.1,87.8,4,56,252,Poor,4
17.1,24.2,12.5,1014.2,79,1.1,1.1,7.6,90,4,66,409,Very Poor,5
17.3,25.5,11.5,1012.3,72,1.4,5,16.5,133.62,5,53,452,Sever,6
16.6,22.6,12.1,1015.2,79,1.4,2.8,7.6,259.5,18,92,324,Sever,6
17.1,24.3,10.2,1018.7,61,1.8,6.7,14.8,241.4,4,55,331,Very Poor,5
17.1,24.2,10.5,1017.1,55,2.3,9.1,22.2,218.6,6,53,417,Very Poor,5
16.5,22.3,11.3,1015.1,69,1.9,6.5,22.2,159.9,23,86,533,Sever,6
18,24.6,13.8,1013.3,78,1.1,1.3,5.4,207.8,15,117,493,Sever,6
17.3,20.7,14,1013.5,91,1,1.3,3.5,196.6,4,43,168,Very Poor,5
17.5,22.5,12.7,1013.6,76,1.3,5,18.3,160.1,5,49,330,Very Poor,5
19.4,27.2,11.9,1014.1,70,1.4,6.1,11.1,166.2,12,100,344,Very Poor,5
19.8,27.2,13,1016.2,58,2.4,10.6,24.1,92.8,12,95,321,Poor,4
20.9,28.2,13.8,1015.3,52,1.9,11.3,18.3,177.9,15,103,194,Very Poor,5
20.8,27.8,15.1,1011.4,61,1.9,7.8,16.5,143.4,4,60,314,Very Poor,5
20.8,27.6,15.9,1011.8,59,2.7,8.3,22.2,68.84,4,58,202,Moderate,3
19.9,26.3,13.4,1014.3,60,1.9,4.4,11.1,121.1,4,59,267,Poor,4
20.4,27.4,13.3,1013.6,57,1.8,9.1,18.3,82,6,70,252,Poor,4
19.3,28.6,13.2,1012.6,61,2.4,4.8,13,147.1,8,73,167,Very Poor,5
21.5,29.8,13.2,1011.1,54,2.1,5.6,16.5,204,24,68,190,Very Poor,5
22.9,30.6,14.1,1010.6,58,1.8,6.9,18.3,145.3,4,44,125,Very Poor,5
24.1,33.1,15.8,1011.9,61,1.4,2.6,9.4,115.7,4,45,97,Poor,4
24.1,32.3,15.9,1009,60,1.9,5,14.8,294.8,2,35,94,Sever,6
25.4,33.3,17.7,1006.6,59,1.6,6.9,14.8,77.4,4,39,104,Moderate,3
26.2,33.8,18.4,1003.3,60,1.8,3.9,16.5,123.2,4,36,140,Very Poor,5
26.5,35.4,19.3,1001.6,52,1.6,1.7,7.6,45.6,4,31,54,Satisfactory,2
26.1,33.3,19.8,1003,39,2.3,9.1,16.5,151.3,4,29,34,Very Poor,5
23.1,29.3,17.6,1007.9,50,1.6,8.9,24.1,244.7,14,39,54,Very Poor,5
24.3,33.8,14.3,1008.2,42,2.1,5.4,11.1,123.9,4,51,298,Very Poor,5
25.4,35.2,16.6,1008.8,47,1.9,8.3,11.1,91.7,5,50,411,Very Poor,5
26,33.2,19.6,1008.8,47,1.9,5,14.8,291.9,2,110,427,Sever,6
25.4,33,19.1,1009.4,50,1.6,7,14.8,221,2,101,298,Very Poor,5
26.2,34.4,18.8,1009.1,47,2.4,9.3,25.9,216.5,4,41,254,Very Poor,5
27.4,35.6,19.1,1007.2,45,2.3,6.9,14.8,175.6,6,65,371,Very Poor,5
27.2,35,19.8,1006.5,56,1.9,8,16.5,198.4,16,129,432,Sever,6
27.3,35.6,22.3,1007.1,64,1.9,12,16.5,205.7,18,128,530,Sever,6
24.4,33,19.4,1009.5,54,1.9,6.9,14.8,18,4,33,150,Moderate,3
26.6,33.4,19.2,1008.3,41,2.1,10,22.2,185.8,4,58,158,Very Poor,5
27,33.6,19.4,1007.9,42,2.3,5.4,14.8,82.5,4,36,76,Moderate,3
26.2,34.2,20,1010.3,37,1.9,10.9,18.3,91.3,4,40,83,Poor,4
24.1,31.8,16,1010.9,40,2.3,5.7,16.5,71.9,10,92,126,Moderate,3
27.2,35.4,15.4,1010.8,31,2.6,4.8,29.4,169.6,2,77,162,Very Poor,5
24.8,35.4,16.7,1010.1,39,1.8,4.4,14.8,132.2,12,75,172,Very Poor,5
25.7,35,18.6,1010.8,43,1.8,5.4,16.5,293.2,4,61,116,Sever,6
25.6,33,18.2,1010.5,37,1.9,7.6,48.2,251.6,5,61,248,Sever,6
27.1,34.3,18,1011,39,2.6,4.3,13,222.4,4,80,197,Very Poor,5
